abc,1
cccbaaaababcbcb,0
abc,1
aacbbc,0
aaaaaabbbbbbcccccc,1
abbacc,0
abc,1
cabbabccbcbcaaa,0
aaabbbccc,1
caaccaabbbcb,0
aaabbbccc,1
bcccaabba,0
aaabbbccc,1
bca,0
aabbcc,1
bcbcacacacabbaabbc,0
abc,1
aabcbcbca,0
aabbcc,1
aabccb,0
aaaaaabbbbbbcccccc,1
cabbbaaccaccbab,0
aaaaaabbbbbbcccccc,1
bbbbccacaaca,0
abc,1
cbbcabcaa,0
aaaaabbbbbccccc,1
ccaacbbbcabacba,0
aaaaabbbbbccccc,1
babccabbccabcaa,0
aaaaaabbbbbbcccccc,1
bac,0
aaabbbccc,1
aacbbccba,0
aabbcc,1
cacbbabac,0
aaabbbccc,1
bcabbccabaca,0
aaaaabbbbbccccc,1
acbcbacabbcbcacaba,0
aaaaaabbbbbbcccccc,1
acbbabbccbaccaabca,0
aaaabbbbcccc,1
abacabccb,0
aaaabbbbcccc,1
baaacbbcc,0
aaaaabbbbbccccc,1
cbcaba,0
abc,1
bcbaacbca,0
aaabbbccc,1
caabcccbbaba,0
abc,1
cbaccbaab,0
aaaaaabbbbbbcccccc,1
cab,0
aaaaabbbbbccccc,1
cba,0
aabbcc,1
cababacbc,0
aaaabbbbcccc,1
baacaacbcbbc,0
aaabbbccc,1
bacbbacabbbcacacca,0
aaaaabbbbbccccc,1
aacabbbacbbaccc,0
abc,1
cbcaacbbbbaaacc,0
aaaabbbbcccc,1
bcababaabcccbac,0
aaaaabbbbbccccc,1
bca,0
aaaaabbbbbccccc,1
bca,0
aaabbbccc,1
cabbabcaccba,0
aaaabbbbcccc,1
bbacca,0
aaabbbccc,1
cba,0
abc,1
bcabcbaaacbc,0
aaabbbccc,1
cbcaab,0
abc,1
accabbcab,0
aabbcc,1
ccccbbaaabab,0
aabbcc,1
baccab,0
aaaaaabbbbbbcccccc,1
bcabca,0
aabbcc,1
cacbcbaba,0
aaaabbbbcccc,1
bccabcabbcaa,0
abc,1
aacbcb,0
aaaabbbbcccc,1
bca,0
aaaaabbbbbccccc,1
acacbb,0
aaaaaabbbbbbcccccc,1
ccbbabaac,0
aaaabbbbcccc,1
aaabcbcbacaccbb,0
aaabbbccc,1
bac,0
aaaaaabbbbbbcccccc,1
bcccaccabbbabaa,0
abc,1
cbbaca,0
aabbcc,1
aabcaaacbccbcbb,0
aaaaabbbbbccccc,1
cabcaabcbbaccba,0
aaaaabbbbbccccc,1
bcbccbabaaca,0
abc,1
ccbaab,0
aaaaaabbbbbbcccccc,1
bcaaacbcabbc,0
aaaaaabbbbbbcccccc,1
acbaccbab,0
aabbcc,1
bacbbaacc,0
aaaaaabbbbbbcccccc,1
aacbbc,0
aaaaabbbbbccccc,1
cba,0
aaaabbbbcccc,1
bcbcabacaabc,0
abc,1
abbabcbcbccacaa,0
aaabbbccc,1
acb,0
aaabbbccc,1
bbacaabcbcac,0
aaaaaabbbbbbcccccc,1
ccabba,0
abc,1
bacbac,0
abc,1
bacaaccaaccbbcbbab,0
aaaaabbbbbccccc,1
bacacb,0
aaabbbccc,1
bca,0
aabbcc,1
abccaccbbaba,0
aaaabbbbcccc,1
acbbbabbcacaacc,0
aaaabbbbcccc,1
bacbbacbcaabcac,0
abc,1
abbaccbbacca,0
aaaaaabbbbbbcccccc,1
acb,0
aaabbbccc,1
baacbabcc,0
aaaabbbbcccc,1
bbcaca,0
aaaabbbbcccc,1
bbccaabca,0
aaabbbccc,1
cccaabbaacbbbca,0
aaabbbccc,1
baabcccbbacbaac,0
aaaaaabbbbbbcccccc,1
bca,0
aaaabbbbcccc,1
caabbbcac,0
aaabbbccc,1
cabcab,0
aaaaabbbbbccccc,1
bca,0
aaaaaabbbbbbcccccc,1
aacaaacbcbcccbabbb,0
aaaaabbbbbccccc,1
bcaccacabbabacbcba,0
aaaabbbbcccc,1
bacbbccaa,0
abc,1
bcbccaacabab,0
aaabbbccc,1
acbcbcbcacbaaabcba,0
aaabbbccc,1
caacbcbaacbbabbacc,0
aaaaaabbbbbbcccccc,1
bcababacc,0
aaaaaabbbbbbcccccc,1
abcabbacc,0
aabbcc,1
cba,0
aaabbbccc,1
bac,0
aaaaaabbbbbbcccccc,1
bccaacbcabcbaba,0
aabbcc,1
accaaabcbbbbcca,0
abc,1
cbaabaccb,0
aaaabbbbcccc,1
cab,0
aaaabbbbcccc,1
aaaabbbaacccbbcbcc,0
aaaaabbbbbccccc,1
cba,0
aaabbbccc,1
cacbbaabacabbcc,0
aaaaabbbbbccccc,1
cbbcaabcaabc,0
aaaaabbbbbccccc,1
abbbbcaaccbabaaccc,0
aaaabbbbcccc,1
aacabcbcb,0
aabbcc,1
ccbbcaacabbbaccaba,0
aaabbbccc,1
bac,0
aaaaabbbbbccccc,1
acbcbbaaccab,0
aaaaabbbbbccccc,1
aaaccbabcacbbbc,0
aaaaaabbbbbbcccccc,1
baccaabcb,0
aaaabbbbcccc,1
bbcbcacccbacabaaab,0
aaaaabbbbbccccc,1
bbcabcacacabccbaab,0
aaaaabbbbbccccc,1
abcbcbcaa,0
abc,1
abaabcbcc,0
abc,1
acbabc,0
aaabbbccc,1
aabcabaccbcbabc,0
aaaabbbbcccc,1
bcbaababaccbaccacb,0
aabbcc,1
bbaacbacc,0
aaaabbbbcccc,1
ccbaba,0
aabbcc,1
acabbc,0
aaaaaabbbbbbcccccc,1
babbcccacaab,0
aaaaabbbbbccccc,1
bcbaca,0
aabbcc,1
aabcbaccb,0
